127.0.0.1 - - [09/May/2017:16:55:27 +0200] "GET / HTTP/1.1" 404 1081
127.0.0.1 - - [09/May/2017:17:25:08 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:25:08 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3755
127.0.0.1 - - [09/May/2017:17:25:08 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:25:08 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:28:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:28:47 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:28:47 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4891
127.0.0.1 - - [09/May/2017:17:28:47 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:30:42 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:30:42 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:30:42 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:30:42 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4893
127.0.0.1 - - [09/May/2017:17:31:18 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:31:18 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:31:18 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4927
127.0.0.1 - - [09/May/2017:17:31:38 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:31:38 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:31:38 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4915
127.0.0.1 - - [09/May/2017:17:32:27 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:32:27 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4888
127.0.0.1 - - [09/May/2017:17:32:27 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:32:27 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4888
127.0.0.1 - - [09/May/2017:17:32:47 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3764
127.0.0.1 - - [09/May/2017:17:32:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:32:47 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4871
127.0.0.1 - - [09/May/2017:17:32:47 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:34:25 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:34:25 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:34:25 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3833
127.0.0.1 - - [09/May/2017:17:35:15 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:35:15 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:35:15 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 200 4922
127.0.0.1 - - [09/May/2017:17:35:15 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3833
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3803
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [09/May/2017:17:40:46 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
