127.0.0.1 - - [10/May/2017:11:16:42 +0200] "GET / HTTP/1.1" 404 1081
127.0.0.1 - - [10/May/2017:11:30:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:34:03 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6917
127.0.0.1 - - [10/May/2017:11:34:03 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:34:03 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:34:06 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:35:42 +0200] "GET /webapp/loginform/login.jsp HTTP/1.1" 200 3803
127.0.0.1 - - [10/May/2017:11:35:42 +0200] "GET /webapp/loginform/logincss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:35:42 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:35:42 +0200] "GET /webapp/loginform/logscr.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:37:40 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:11:37:40 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:37:40 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:37:40 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6906
127.0.0.1 - - [10/May/2017:11:45:21 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6906
127.0.0.1 - - [10/May/2017:11:45:21 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:45:21 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:11:45:21 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:06:15 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6906
127.0.0.1 - - [10/May/2017:12:06:15 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:06:15 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:06:16 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6906
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/index.jsp HTTP/1.1" 200 6906
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexscript.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:16:10 +0200] "GET /webapp/indexpage/indexstyle.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:23:09 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 1952
127.0.0.1 - - [10/May/2017:12:23:09 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 173
127.0.0.1 - - [10/May/2017:12:23:09 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:37:48 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 964
127.0.0.1 - - [10/May/2017:12:37:48 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2553
127.0.0.1 - - [10/May/2017:12:37:49 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 200 514302
127.0.0.1 - - [10/May/2017:12:37:49 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 200 1662
127.0.0.1 - - [10/May/2017:12:37:49 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:37:49 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2553
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:40:37 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 983
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2553
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:41:17 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:41:43 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:41:43 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:41:43 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:41:43 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2554
127.0.0.1 - - [10/May/2017:12:41:43 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2560
127.0.0.1 - - [10/May/2017:12:42:15 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:42:44 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:42:44 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:42:44 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2560
127.0.0.1 - - [10/May/2017:12:42:44 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 985
127.0.0.1 - - [10/May/2017:12:42:44 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2621
127.0.0.1 - - [10/May/2017:12:43:07 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:44:00 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 988
127.0.0.1 - - [10/May/2017:12:44:00 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2560
127.0.0.1 - - [10/May/2017:12:44:10 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 986
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2560
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:45:03 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:45:04 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2613
127.0.0.1 - - [10/May/2017:12:46:47 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:47:30 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:47:30 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2614
127.0.0.1 - - [10/May/2017:12:47:30 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 984
127.0.0.1 - - [10/May/2017:12:47:30 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:47:30 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 999
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:50:07 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:50:39 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:50:39 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:50:39 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1014
127.0.0.1 - - [10/May/2017:12:50:39 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:50:40 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1016
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1016
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:51:42 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:53:06 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:53:06 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:53:06 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:53:06 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1380
127.0.0.1 - - [10/May/2017:12:53:07 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1410
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:47 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1410
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1410
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:58 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:54:59 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:55:27 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:55:27 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:55:27 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1410
127.0.0.1 - - [10/May/2017:12:55:27 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:55:28 +0200] "GET /favicon.ico HTTP/1.1" 404 1092
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1380
127.0.0.1 - - [10/May/2017:12:55:40 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1406
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:13 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1404
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:38 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:39 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:56 +0200] "GET /webapp/aboutpage/aboutus.jsp HTTP/1.1" 200 2555
127.0.0.1 - - [10/May/2017:12:56:56 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
127.0.0.1 - - [10/May/2017:12:56:56 +0200] "GET /webapp/aboutpage/videojs.js HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:57 +0200] "GET /webapp/aboutpage/Big-Apple.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/May/2017:12:56:57 +0200] "GET /webapp/aboutpage/aboutcss.css HTTP/1.1" 200 1403
127.0.0.1 - - [10/May/2017:12:56:57 +0200] "GET /webapp/aboutpage/Big-Apple.mp4 HTTP/1.1" 200 9499187
